what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1326848525822
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1326848525823
started,bundle,com.python.pydev.analysis,2.2.3.2011100616,"com.python.pydev.analysis",1326848525823
started,bundle,org.python.pydev,2.2.3.2011100616,"org.python.pydev",1326848525824
started,bundle,org.python.pydev.core,2.2.3.2011100616,"org.python.pydev.core",1326848525824
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1326848525825
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1326848525826
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1326848525827
started,bundle,org.eclipse.mylyn.github.ui,1.1.0.201109151100-r,"org.eclipse.mylyn.github.ui",1326848525827
os,sysinfo,,,"macosx",1326848525831
arch,sysinfo,,,"x86_64",1326848525831
ws,sysinfo,,,"cocoa",1326848525831
locale,sysinfo,,,"en_US",1326848525831
processors,sysinfo,,,"4",1326848525831
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326848525831
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1326848525831
java.specification.name,sysinfo,,,"Java Platform API Specification",1326848525831
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326848525831
java.specification.version,sysinfo,,,"1.6",1326848525831
java.vendor,sysinfo,,,"Apple Inc.",1326848525831
java.version,sysinfo,,,"1.6.0_29",1326848525831
java.vm.info,sysinfo,,,"mixed mode",1326848525831
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1326848525831
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326848525831
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326848525831
